Entidad federativa	1990 Total	1990 Hombres	1990 Mujeres	1995 Total	1995 Hombres	1995 Mujeres	2000 Total	2000 Hombres	2000 Mujeres	2005 Total	2005 Hombres	2005 Mujeres	2010 Total	2010 Hombres	2010 Mujeres
Aguascalientes	599	358	241	729	432	297	1244	667	577	2713	1514	1199	2436	1422	1014
Baja California	18177	10041	8136	22912	12404	10508	37685	19920	17765	33604	18029	15575	41005	21557	19448
Baja California Sur	2749	1510	1239	3468	1901	1567	5353	3046	2307	7095	4226	2869	10661	6331	4330
Campeche	86676	45049	41627	89180	46475	42705	93765	48558	45207	89084	45825	43259	91094	46800	44294
Coahuila de Zaragoza	3821	2151	1670	2039	1206	833	3032	1834	1198	5842	3348	2494	6105	3473	2632
Colima	1481	895	586	1599	959	640	2932	1790	1142	2889	1644	1245	3983	2278	1705
Chiapas	716012	359570	356442	768720	386577	382143	809592	404442	405150	957255	475255	482000	1141499	563439	578060
Chihuahua	61504	32026	29478	67930	35499	32431	84086	43269	40817	93709	47938	45771	104014	52579	51435
Ciudad de México	111552	49064	62488	100890	45065	55825	141710	63592	78118	118424	55487	62937	122411	57619	64792
Durango	18125	9205	8920	20281	10263	10018	24934	12546	12388	27792	13796	13996	30894	15518	15376
Guanajuato	8966	4740	4226	4738	2641	2097	10689	5797	4892	10347	5554	4793	14835	7974	6861
Guerrero	298532	147512	151020	319707	158223	161484	367110	177337	189773	383427	183863	199564	456774	218334	238440
Hidalgo	317838	158459	159379	327991	165114	162877	339866	167947	171919	320029	157056	162973	359972	177268	182704
Jalisco	24914	12636	12278	21927	11112	10815	39259	19796	19463	42372	21873	20499	51702	26397	25305
México	312595	151292	161303	310785	150881	159904	361972	173930	188042	312319	150741	161578	376830	181185	195645
Michoacán de Ocampo	105578	51686	53892	108545	53162	55383	121849	58347	63502	113166	54088	59078	136608	65637	70971
Morelos	19940	10186	9754	25133	13067	12066	30896	15761	15135	24757	12330	12427	31388	15514	15874
Nayarit	24157	12320	11837	32503	16728	15775	37206	18784	18422	41689	21119	20570	49963	25122	24841
Nuevo León	4852	2224	2628	7467	3410	4057	15446	6962	8484	29538	14468	15070	40137	20297	19840
Oaxaca	1018106	496455	521651	1027847	504527	523320	1120312	538255	582057	1091502	519630	571872	1165186	552069	613117
Puebla	503277	245137	258140	527559	258073	269486	565509	273228	292281	548723	263717	285006	601680	287445	314235
Querétaro	20392	10100	10292	20738	10262	10476	25269	12317	12952	23363	11457	11906	29585	14570	15015
Quintana Roo	133081	70974	62107	157770	84287	73483	173592	92991	80601	170982	91191	79791	196060	105410	90650
San Luis Potosí	204328	105020	99308	213717	110648	103069	235253	120202	115051	234815	119554	115261	248196	125205	122991
Sinaloa	31390	17072	14318	24864	13711	11153	49744	27216	22528	30459	17274	13185	23426	12816	10610
Sonora	47913	26295	21618	48212	26408	21804	55694	30637	25057	51701	28058	23643	60310	33254	27056
Tabasco	47967	25332	22635	51364	27222	24142	62027	32629	29398	52139	27240	24899	60526	31425	29101
Tamaulipas	8509	4132	4377	10061	5151	4910	17118	8744	8374	20221	10495	9726	23296	11956	11340
Tlaxcala	22783	11476	11307	26886	13559	13327	26662	13379	13283	23807	12163	11644	27653	13887	13766
Veracruz de Ignacio de la Llave	580386	290153	290233	590829	296362	294467	633372	313553	319819	605135	295780	309355	644559	314861	329698
Yucatán	525264	265714	259550	545902	278014	267888	549532	277317	272215	538355	272078	266277	537516	273533	263983
Zacatecas	883	542	341	1262	730	532	1837	1079	758	3949	2273	1676	4924	2664	2260
